0.0,0.0,0.0,0.0
60.0,59.75,35.28,0.28000000000000114
60.25,63.25,35.4,0.3999999999999986
60.375,60.0,35.4,0.3999999999999986
60.625,61.875,35.76,0.759999999999998
61.0,59.625,35.879999999999995,0.8799999999999955
62.625,57.875,35.879999999999995,0.8799999999999955
63.375,60.5,35.879999999999995,0.8799999999999955
59.875,60.125,36.0,1.0
61.75,63.25,36.12,1.1199999999999974
64.0,60.75,36.12,1.1199999999999974
63.25,61.875,36.36,1.3599999999999994
62.25,61.875,36.6,1.6000000000000014
60.25,62.5,37.559999999999995,2.559999999999995
62.5,60.375,37.92,2.9200000000000017
61.75,59.625,38.519999999999996,3.519999999999996
62.0,62.75,38.519999999999996,3.519999999999996
59.875,58.75,38.76,3.759999999999998
61.75,59.25,38.76,3.759999999999998
63.0,62.875,38.76,3.759999999999998
60.75,62.75,39.0,4.0
63.375,58.875,39.0,4.0
61.375,61.75,39.24,4.240000000000002
59.875,60.75,39.36,4.359999999999999
60.125,61.625,39.48,4.479999999999997
58.625,59.875,39.6,4.600000000000001
62.875,58.375,39.6,4.600000000000001
60.25,61.5,39.72,4.719999999999999
59.875,58.5,39.839999999999996,4.839999999999996
61.5,58.75,39.839999999999996,4.839999999999996
61.875,62.0,39.839999999999996,4.839999999999996
59.25,58.375,40.08,5.079999999999998
62.0,61.25,40.08,5.079999999999998
62.25,63.125,40.08,5.079999999999998
58.875,59.0,40.68,5.68
63.25,59.75,40.68,5.68
59.5,61.75,40.8,5.799999999999997
62.25,58.625,40.8,5.799999999999997
59.875,61.0,40.92,5.920000000000002
59.375,59.25,41.519999999999996,6.519999999999996
59.75,60.0,41.519999999999996,6.519999999999996
60.625,60.375,41.76,6.759999999999998
63.875,60.25,42.0,7.0
62.875,58.5,42.36,7.359999999999999
59.125,62.5,43.08,8.079999999999998
60.0,59.625,43.32,8.32
62.0,63.25,43.32,8.32
61.375,58.875,43.92,8.920000000000002
60.25,59.125,44.4,9.399999999999999
63.125,58.625,44.519999999999996,9.519999999999996
62.5,58.375,44.64,9.64
61.125,58.375,44.76,9.759999999999998
61.25,60.0,44.76,9.759999999999998
59.125,62.125,45.0,10.0
59.25,59.125,45.0,10.0
60.75,59.0,45.12,10.119999999999997
63.125,59.0,45.36,10.36
59.0,59.75,45.48,10.479999999999997
60.0,59.375,45.48,10.479999999999997
64.125,59.875,45.6,10.600000000000001
59.125,59.25,46.08,11.079999999999998
63.125,59.25,46.32,11.32
58.75,62.0,46.44,11.439999999999998
63.25,62.375,46.559999999999995,11.559999999999995
60.875,60.375,46.68,11.68
62.5,62.125,46.68,11.68
63.375,60.125,46.68,11.68
59.5,60.125,46.8,11.799999999999997
61.875,58.0,47.04,12.04
59.25,59.625,47.16,12.159999999999997
60.125,62.625,47.64,12.64
63.625,60.0,47.76,12.759999999999998
58.75,60.625,48.239999999999995,13.239999999999995
58.375,60.375,48.48,13.479999999999997
59.0,62.0,48.839999999999996,13.839999999999996
63.75,58.875,49.08,14.079999999999998
59.25,59.25,49.44,14.439999999999998
61.25,57.625,49.559999999999995,14.559999999999995
61.75,59.0,49.559999999999995,14.559999999999995
58.625,59.625,49.8,14.799999999999997
62.25,58.25,49.8,14.799999999999997
59.25,61.25,50.16,15.159999999999997
59.25,62.375,50.519999999999996,15.519999999999996
61.625,59.0,50.519999999999996,15.519999999999996
62.0,61.75,50.76,15.759999999999998
62.625,58.375,50.879999999999995,15.879999999999995
62.875,59.75,50.879999999999995,15.879999999999995
63.375,61.25,51.0,16.0
58.625,59.125,51.36,16.36
60.25,60.5,51.36,16.36
58.375,59.75,51.48,16.479999999999997
62.5,61.75,51.6,16.6
62.0,62.75,51.96,16.96
62.875,62.75,51.96,16.96
59.5,60.75,52.199999999999996,17.199999999999996
59.5,62.625,52.32,17.32
60.25,61.875,52.32,17.32
63.0,59.75,52.32,17.32
59.875,60.375,52.559999999999995,17.559999999999995
61.0,60.875,52.559999999999995,17.559999999999995
63.625,59.125,52.559999999999995,17.559999999999995
59.25,61.625,52.8,17.799999999999997
61.0,62.5,53.16,18.159999999999997
59.125,61.875,53.28,18.28
58.75,61.75,53.519999999999996,18.519999999999996
61.25,60.875,53.519999999999996,18.519999999999996
61.75,62.125,53.519999999999996,18.519999999999996
59.5,59.375,53.64,18.64
60.375,60.375,53.64,18.64
59.0,61.875,54.12,19.119999999999997
59.125,60.0,54.12,19.119999999999997
62.75,59.25,54.36,19.36
59.75,62.625,54.6,19.6
61.125,59.875,54.839999999999996,19.839999999999996
59.125,59.375,54.96,19.96
59.25,59.875,54.96,19.96
60.875,61.375,54.96,19.96
63.125,60.5,55.199999999999996,20.199999999999996
62.25,60.625,55.32,20.32
60.75,61.625,55.44,20.439999999999998
63.375,60.5,55.44,20.439999999999998
61.625,59.875,55.559999999999995,20.559999999999995
59.375,58.875,55.919999999999995,20.919999999999995
60.875,58.75,55.919999999999995,20.919999999999995
58.625,61.375,56.04,21.04
59.25,61.5,56.04,21.04
60.125,57.875,56.04,21.04
60.125,61.625,56.04,21.04
61.625,59.25,56.04,21.04
62.625,59.75,56.04,21.04
62.875,58.0,56.04,21.04
63.375,58.875,56.04,21.04
63.375,60.375,56.04,21.04
63.75,61.75,56.04,21.04
60.125,61.625,56.16,21.159999999999997
61.0,59.25,56.16,21.159999999999997
61.75,62.0,56.16,21.159999999999997
62.125,62.0,56.16,21.159999999999997
62.25,63.0,56.16,21.159999999999997
62.5,59.75,56.16,21.159999999999997
62.875,58.0,56.16,21.159999999999997
60.5,62.25,56.28,21.28
