object_layer,startTime,neigborhoodSize,epsilon,minPts,similarity[%],AVGclusterheight,endTime
object_8_layer_18.png,1820999564917,5,1.0,3,0.4557291666666667,2.534005037783375,1821021551157
object_8_layer_19.png,1821021809840,5,1.0,3,0.6401909722222222,2.511737089201878,1821074466051
object_8_layer_20.png,1821074716296,5,1.0,3,0.7486979166666666,2.5191011235955054,1821101290230
object_8_layer_1.png,1822467898763,5,1.0,3,1.0959201388888888,2.4989106753812638,1822561296397
object_8_layer_2.png,1822561605139,5,1.0,3,1.3020833333333333,2.5238095238095237,1822581900646
object_8_layer_3.png,1822582036753,5,1.0,3,1.4322916666666667,2.5430861723446894,1822611536583
object_8_layer_4.png,1822611779352,5,1.0,3,1.3888888888888888,2.555977229601518,1822674653542
object_8_layer_5.png,1822674952034,5,1.0,3,2.267795138888889,2.622889305816135,1822696804244
object_8_layer_6.png,1822697020191,5,1.0,3,1.6493055555555556,2.647495361781076,1822748383083
object_8_layer_7.png,1822748682065,5,1.0,3,1.4756944444444444,2.718132854578097,1822807359689
object_8_layer_8.png,1822807671899,5,1.0,3,1.4322916666666667,2.7195767195767195,1822830651427
object_8_layer_9.png,1822830892944,5,1.0,3,1.6059027777777777,2.759259259259259,1822870149424
object_8_layer_10.png,1822870398654,5,1.0,3,2.1158854166666665,2.7432885906040267,1822943870469
object_8_layer_11.png,1822944123906,5,1.0,3,1.6384548611111112,2.8061389337641356,1822977512640
object_8_layer_12.png,1822977749422,5,1.0,3,1.66015625,2.8080645161290323,1823038429684
object_8_layer_13.png,1823038681944,5,1.0,3,1.7035590277777777,2.812698412698413,1823088669402
object_8_layer_14.png,1823088924483,5,1.0,3,1.7252604166666667,2.813099041533546,1823158183285
object_8_layer_15.png,1823158472526,5,1.0,3,1.8120659722222223,2.873529411764706,1823176624286
object_8_layer_16.png,1823184148262,5,1.0,3,1.6710069444444444,2.843609022556391,1823240286537
object_8_layer_17.png,1823240547313,5,1.0,3,1.4214409722222223,2.891336270190896,1823259652949
object_8_layer_18.png,1823259880406,5,1.0,3,1.2044270833333333,2.8969521044992743,1823305361792
object_8_layer_19.png,1823305604411,5,1.0,3,1.5082465277777777,2.8970380818053596,1823367515396
object_8_layer_20.png,1823367815592,5,1.0,3,1.7144097222222223,2.945578231292517,1823405029747
object_8_layer_1.png,1824534839779,10,1.0,3,0.4014756944444444,2.91643059490085,1824556432371
object_8_layer_2.png,1824556659581,10,1.0,3,0.10850694444444445,2.9224137931034484,1824593083752
object_8_layer_3.png,1824593350222,10,1.0,3,0.2170138888888889,2.9285714285714284,1824626327851
object_8_layer_4.png,1824626604684,10,1.0,3,0.1410590277777778,2.921540656205421,1824657923313
object_8_layer_5.png,1824665866115,10,1.0,3,0.1519097222222222,2.9300998573466477,1824675333345
object_8_layer_6.png,1824675560474,10,1.0,3,0.09765625,2.9138418079096047,1824719886217
object_8_layer_7.png,1824720232550,10,1.0,3,0.1736111111111111,2.919034090909091,1824726766605
object_8_layer_8.png,1824727111490,10,1.0,3,0.1736111111111111,2.9137199434229135,1824743944023
object_8_layer_9.png,1824782355566,10,1.0,3,0.1410590277777778,2.9180790960451977,1824788212677
object_8_layer_10.png,1824788580812,10,1.0,3,0.5859375,2.9101123595505616,1824793467030
object_8_layer_11.png,1824793815917,10,1.0,3,0.4774305555555556,2.914804469273743,1824810715311
object_8_layer_12.png,1824810944923,10,1.0,3,0.3146701388888889,2.923076923076923,1824841634349
object_8_layer_13.png,1824842065021,10,1.0,3,0.22786458333333334,2.9244755244755245,1824857380737
object_8_layer_14.png,1824858014009,10,1.0,3,0.06510416666666667,2.918767507002801,1824881610026
object_8_layer_15.png,1824881848071,10,1.0,3,0.4231770833333333,2.9117241379310346,1824914445737
object_8_layer_16.png,1824915122748,10,1.0,3,0.3038194444444444,2.9213793103448276,1824926431664
object_8_layer_17.png,1824926682781,10,1.0,3,0.09765625,2.9194444444444443,1824933394769
