object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime,latency
object_C4_layer_290.png,6669748308800,10,0.1,2500,1.5,7,38.8,0,0,0,0,0,NaN,NaN,6670382264600,"633,9558"
object_C4_layer_291.png,6670383470100,10,0.1,2500,1.5,7,14.4,0,0,0,0,0,0.0,0.0,6670399150900,"15,6808"
object_C4_layer_292.png,6670400186700,10,0.1,2500,1.5,7,16.8,0,0,0,0,0,0.0,2.0,6670414215600,"14,0289"
object_C4_layer_293.png,6670415750800,10,0.1,2500,1.5,7,40.4,0,0,0,0,0,0.0,2.0,6670428180900,"12,4301"
object_C4_layer_294.png,6670429503300,10,0.1,2500,1.5,7,7.2,0,0,0,0,0,0.0,2.0,6670443154700,"13,6514"
object_C4_layer_295.png,6670444271100,10,0.1,2500,1.5,7,36.0,0,0,0,0,0,0.0,2.0,6670458411600,"14,1405"
object_C4_layer_296.png,6670459990400,10,0.1,2500,1.5,7,21.2,0,0,0,0,0,0.0,2.0,6670478875000,"18,8846"
object_C4_layer_297.png,6670480422500,10,0.1,2500,1.5,7,12.4,0,0,0,0,0,0.0,2.142857142857143,6670491257100,"10,8346"
object_C4_layer_298.png,6670492209200,10,0.1,2500,1.5,7,10.0,0,0,0,0,0,0.0,2.142857142857143,6670502918600,"10,7094"
object_C4_layer_299.png,6670503905700,10,0.1,2500,1.5,7,29.6,0,0,0,0,0,0.0,2.111111111111111,6670514984500,"11,0788"
object_C4_layer_300.png,6670516824400,10,0.1,2500,1.5,7,22.4,0,0,0,0,0,0.0,2.1,6670527489000,"10,6646"
object_C4_layer_301.png,6670528569800,10,0.1,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.076923076923077,6670540454200,"11,8844"
object_C4_layer_302.png,6670541788700,10,0.1,2500,1.5,7,29.2,0,0,0,0,0,0.0,2.2142857142857144,6670552185900,"10,3972"
object_C4_layer_303.png,6670553261300,10,0.1,2500,1.5,7,18.0,0,0,0,0,0,0.0,2.3846153846153846,6670568290100,"15,0288"
object_C4_layer_304.png,6670569426200,10,0.1,2500,1.5,7,36.4,0,0,0,0,0,0.0,2.2142857142857144,6670582286400,"12,8602"
object_C4_layer_305.png,6670584478900,10,0.1,2500,1.5,7,20.4,0,0,0,0,0,0.0,02.25,6670594742800,"10,2639"
object_C4_layer_306.png,6670595698900,10,0.1,2500,1.5,7,36.0,0,0,0,0,0,0.0,2.3333333333333335,6670607148800,"11,4499"
object_C4_layer_307.png,6670608160500,10,0.1,2500,1.5,7,7.2,0,0,0,0,0,0.0,2.4444444444444446,6670618184100,"10,0236"
object_C4_layer_308.png,6670619659200,10,0.1,2500,1.5,7,30.0,0,0,0,0,0,0.0,2.3529411764705883,6670631421500,"11,7623"
object_C4_layer_309.png,6670632463100,10,0.1,2500,1.5,7,17.6,0,0,0,0,0,0.0,2.3529411764705883,6670644880300,"12,4172"
object_C4_layer_310.png,6670646411100,10,0.1,2500,1.5,7,24.0,0,0,0,0,0,0.0,2.260869565217391,6670656655700,"10,2446"
object_C4_layer_311.png,6670657751800,10,0.1,2500,1.5,7,16.4,0,0,0,0,0,0.0,2.3,6670672472200,"14,7204"
object_C4_layer_312.png,6670673470900,10,0.1,2500,1.5,7,22.0,0,0,0,0,0,0.0,2.272727272727273,6670690598600,"17,1277"
object_C4_layer_313.png,6670691633400,10,0.1,2500,1.5,7,49.2,0,0,0,0,0,0.0,2.3333333333333335,6670702511500,"10,8781"
object_C4_layer_314.png,6670704396600,10,0.1,2500,1.5,7,27.2,0,0,0,0,0,0.0,2.3043478260869565,6670715830600,"11,434"
object_C4_layer_315.png,6670716863300,10,0.1,2500,1.5,7,31.6,0,0,0,0,0,0.0,2.3181818181818183,6670729231000,"12,3677"
object_C4_layer_316.png,6670730963500,10,0.1,2500,1.5,7,8.8,0,0,0,0,0,0.0,2.3181818181818183,6670741924300,"10,9608"
