object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime,latency
object_A11_layer_290.png,6242275743600,10,00.05,2500,1.5,7,28.0,0,0,0,0,0,NaN,NaN,6242891094000,"615,3504"
object_A11_layer_291.png,6242892291700,10,00.05,2500,1.5,7,68.8,0,0,0,0,0,0.0,0.0,6242913964800,"21,6731"
object_A11_layer_292.png,6242914918700,10,00.05,2500,1.5,7,31.2,0,0,0,0,0,0.0,0.0,6242925714700,"10,796"
object_A11_layer_293.png,6242926911500,10,00.05,2500,1.5,7,42.4,0,0,0,0,0,0.0,2.0,6242938201300,"11,2898"
object_A11_layer_294.png,6242940896500,10,00.05,2500,1.5,7,23.2,0,0,0,0,0,0.0,2.0,6242951689000,"10,7925"
object_A11_layer_295.png,6242952890800,10,00.05,2500,1.5,7,58.4,0,0,0,0,0,0.0,2.0,6242964548500,"11,6577"
object_A11_layer_296.png,6242965953900,10,00.05,2500,1.5,7,73.6,0,0,0,0,0,0.0,2.0,6242980628800,"14,6749"
object_A11_layer_297.png,6242981709700,10,00.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.2,6242992403700,"10,694"
object_A11_layer_298.png,6242993392800,10,00.05,2500,1.5,7,57.6,0,0,0,0,0,0.0,2.6666666666666665,6243004082000,"10,6892"
object_A11_layer_299.png,6243005871500,10,00.05,2500,1.5,7,56.0,0,0,0,0,0,0.0,2.2222222222222223,6243016393200,"10,5217"
object_A11_layer_300.png,6243017355600,10,00.05,2500,1.5,7,63.2,0,0,0,0,0,0.0,2.3,6243028198500,"10,8429"
object_A11_layer_301.png,6243029446900,10,00.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.6153846153846154,6243039870000,"10,4231"
object_A11_layer_302.png,6243040864400,10,00.05,2500,1.5,7,47.2,0,0,0,0,0,0.0,2.6923076923076925,6243051709800,"10,8454"
object_A11_layer_303.png,6243052992700,10,00.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.3157894736842106,6243063297200,"10,3045"
object_A11_layer_304.png,6243064663900,10,00.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.3529411764705883,6243079052000,"14,3881"
object_A11_layer_305.png,6243080503600,10,00.05,2500,1.5,7,49.6,0,0,0,0,0,0.0,2.3333333333333335,6243090389200,"9,8856"
object_A11_layer_306.png,6243091368800,10,00.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.3,6243100573800,"9,205"
object_A11_layer_307.png,6243101500300,10,00.05,2500,1.5,7,46.4,0,0,0,0,0,0.0,02.35,6243111350200,"9,8499"
object_A11_layer_308.png,6243112865900,10,00.05,2500,1.5,7,12.8,0,0,0,0,0,0.0,2.4347826086956523,6243123268400,"10,4025"
object_A11_layer_309.png,6243124364300,10,00.05,2500,1.5,7,64.0,0,0,0,0,0,0.0,2.380952380952381,6243135249400,"10,8851"
object_A11_layer_310.png,6243136273700,10,00.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.347826086956522,6243145734000,"9,4603"
object_A11_layer_311.png,6243147135700,10,00.05,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.347826086956522,6243158705400,"11,5697"
object_A11_layer_312.png,6243159788400,10,00.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,02.32,6243171796000,"12,0076"
object_A11_layer_313.png,6243173884700,10,00.05,2500,1.5,7,50.4,0,0,0,0,0,0.0,02.32,6243184143400,"10,2587"
object_A11_layer_314.png,6243185294300,10,00.05,2500,1.5,7,35.2,0,0,0,0,0,0.0,02.32,6243196090300,"10,796"
object_A11_layer_315.png,6243197068900,10,00.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,02.32,6243206571400,"9,5025"
object_A11_layer_316.png,6243207534400,10,00.05,2500,1.5,7,69.6,0,0,0,0,0,0.0,02.32,6243219399700,"11,8653"
object_A11_layer_317.png,6243220379500,10,00.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.3076923076923075,6243229698600,"9,3191"
object_A11_layer_318.png,6243231080800,10,00.05,2500,1.5,7,32.0,0,0,0,0,0,0.0,2.3076923076923075,6243241752900,"10,6721"
object_A11_layer_319.png,6243242721000,10,00.05,2500,1.5,7,23.2,0,0,0,0,0,0.0,2.3076923076923075,6243253623600,"10,9026"
object_A11_layer_320.png,6243256191200,10,00.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.3076923076923075,6243265972700,"9,7815"
object_A11_layer_321.png,6243267031600,10,00.05,2500,1.5,7,41.6,0,0,0,0,0,0.0,2.2962962962962963,6243281177000,"14,1454"
object_A11_layer_322.png,6243282160100,10,00.05,2500,1.5,7,55.2,0,0,0,0,0,0.0,2.357142857142857,6243291221500,"9,0614"
object_A11_layer_323.png,6243292415500,10,00.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.3214285714285716,6243302278000,"9,8625"
object_A11_layer_324.png,6243303362200,10,00.05,2500,1.5,7,76.0,0,0,0,0,0,0.0,470.45.00,6243313037000,"9,6748"
object_A11_layer_325.png,6243314138000,10,00.05,2500,1.5,7,58.4,0,0,0,0,0,0.0,2.3548387096774195,6243324453500,"10,3155"
object_A11_layer_326.png,6243325454100,10,00.05,2500,1.5,7,36.8,0,0,0,0,0,0.0,2.3548387096774195,6243335368700,"9,9146"
object_A11_layer_327.png,6243337403800,10,00.05,2500,1.5,7,50.4,0,0,0,0,0,0.0,2.3333333333333335,6243347418500,"10,0147"
object_A11_layer_328.png,6243348342400,10,00.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,08.15,6243359691700,"11,3493"
object_A11_layer_329.png,6243360928100,10,00.05,2500,1.5,7,72.0,0,0,0,0,0,0.0,08.15,6243374149800,"13,2217"
object_A11_layer_330.png,6243375085300,10,00.05,2500,1.5,7,60.8,0,0,0,0,0,0.0,2.3333333333333335,6243385162500,"10,0772"
object_A11_layer_331.png,6243386076100,10,00.05,2500,1.5,7,74.4,0,0,0,0,0,0.0,2.3333333333333335,6243395774200,"9,6981"
object_A11_layer_332.png,6243396890800,10,00.05,2500,1.5,7,50.4,0,0,0,0,0,0.0,2.3513513513513513,6243409265700,"12,3749"
object_A11_layer_333.png,6243410495700,10,00.05,2500,1.5,7,72.8,0,0,0,0,0,0.0,2.3684210526315788,6243421448800,"10,9531"
object_A11_layer_334.png,6243422909900,10,00.05,2500,1.5,7,28.8,0,0,0,0,0,0.0,2.3947368421052633,6243432174500,"9,2646"
object_A11_layer_335.png,6243433019800,10,00.05,2500,1.5,7,36.0,0,0,0,0,0,0.0,2.3947368421052633,6243442759200,"9,7394"
object_A11_layer_336.png,6243443642200,10,00.05,2500,1.5,7,58.4,0,0,0,0,0,0.0,08.15,6243452590400,"8,9482"
object_A11_layer_337.png,6243453464000,10,00.05,2500,1.5,7,27.2,0,0,0,0,0,0.0,2.3902439024390243,6243466826800,"13,3628"
object_A11_layer_338.png,6243467723600,10,00.05,2500,1.5,7,64.8,0,0,0,0,0,0.0,2.409090909090909,6243476770100,"9,0465"
object_A11_layer_339.png,6243477790000,10,00.05,2500,1.5,7,68.8,0,0,0,0,0,0.0,2.4285714285714284,6243488955800,"11,1658"
object_A11_layer_340.png,6243490179600,10,00.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.4285714285714284,6243499815800,"9,6362"
object_A11_layer_341.png,6243500841500,10,00.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.4285714285714284,6243510444100,"9,6026"
object_A11_layer_342.png,6243511310900,10,00.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.4186046511627906,6243519867300,"8,5564"
object_A11_layer_343.png,6243520861000,10,00.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.4545454545454546,6243532842800,"11,9818"
object_A11_layer_344.png,6243533783700,10,00.05,2500,1.5,7,31.2,0,0,0,0,0,0.0,2.441860465116279,6243542603100,"8,8194"
object_A11_layer_345.png,6243544680800,10,00.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.441860465116279,6243556181400,"11,5006"
object_A11_layer_346.png,6243557130000,10,00.05,2500,1.5,7,37.6,0,0,0,0,0,0.0,2.441860465116279,6243567574300,"10,4443"
object_A11_layer_347.png,6243568560900,10,00.05,2500,1.5,7,80.0,0,0,0,0,0,0.0,2.422222222222222,6243579931000,"11,3701"
object_A11_layer_348.png,6243580806200,10,00.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.4347826086956523,6243590942900,"10,1367"
object_A11_layer_349.png,6243591961400,10,00.05,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.425531914893617,6243600765800,"8,8044"
object_A11_layer_350.png,6243601882100,10,00.05,2500,1.5,7,15.2,0,0,0,0,0,0.0,2.4081632653061225,6243612206700,"10,3246"
object_A11_layer_351.png,6243613120900,10,00.05,2500,1.5,7,44.0,0,0,0,0,0,0.0,2.4081632653061225,6243622095500,"8,9746"
object_A11_layer_352.png,6243622987800,10,00.05,2500,1.5,7,42.4,0,0,0,0,0,0.0,2.4285714285714284,6243633851100,"10,8633"
object_A11_layer_353.png,6243634632500,10,00.05,2500,1.5,7,35.2,0,0,0,0,0,0.0,2.4285714285714284,6243645292700,"10,6602"
object_A11_layer_354.png,6243646293600,10,00.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,02.42,6243656379900,"10,0863"
object_A11_layer_355.png,6243657261100,10,00.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,02.44,6243665893800,"8,6327"
object_A11_layer_356.png,6243666838800,10,00.05,2500,1.5,7,56.0,0,0,0,0,0,0.0,02.44,6243676140700,"9,3019"
object_A11_layer_357.png,6243676939000,10,00.05,2500,1.5,7,26.4,0,0,0,0,0,0.0,02.44,6243685304400,"8,3654"
object_A11_layer_358.png,6243686425900,10,00.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.4313725490196076,6243696384600,"9,9587"
object_A11_layer_359.png,6243697237100,10,00.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.423076923076923,6243705706600,"8,4695"
object_A11_layer_360.png,6243706581900,10,00.05,2500,1.5,7,56.8,0,0,0,0,0,0.0,2.423076923076923,6243716997600,"10,4157"
object_A11_layer_361.png,6243717952000,10,00.05,2500,1.5,7,46.4,0,0,0,0,0,0.0,2.4,6243767082500,"49,1305"
object_A11_layer_362.png,6243768115800,10,00.05,2500,1.5,7,14.4,0,0,0,0,0,0.0,2.4074074074074074,6243777377600,"9,2618"
object_A11_layer_363.png,6243778431300,10,00.05,2500,1.5,7,28.8,0,0,0,0,0,0.0,2.4,6243787794200,"9,3629"
object_A11_layer_364.png,6243788889800,10,00.05,2500,1.5,7,48.0,0,0,0,0,0,0.0,2.392857142857143,6243800477400,"11,5876"
object_A11_layer_365.png,6243801673900,10,00.05,2500,1.5,7,59.2,0,0,0,0,0,0.0,2.3793103448275863,6243810941100,"9,2672"
object_A11_layer_366.png,6243812201700,10,00.05,2500,1.5,7,15.2,0,0,0,0,0,0.0,2.3728813559322033,6243822127500,"9,9258"
object_A11_layer_367.png,6243823173100,10,00.05,2500,1.5,7,28.0,0,0,0,0,0,0.0,2.3728813559322033,6243832028900,"8,8558"
object_A11_layer_368.png,6243833028800,10,00.05,2500,1.5,7,24.8,0,0,0,0,0,0.0,2.3666666666666667,6243842648400,"9,6196"
object_A11_layer_369.png,6243843703600,10,00.05,2500,1.5,7,72.0,0,0,0,0,0,0.0,2.360655737704918,6243852850100,"9,1465"
object_A11_layer_370.png,6243854059400,10,00.05,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.3492063492063493,6243867710400,"13,651"
object_A11_layer_371.png,6243868899900,10,00.05,2500,1.5,7,45.6,0,0,0,0,0,0.0,2.3492063492063493,6243878905100,"10,0052"
object_A11_layer_372.png,6243880094500,10,00.05,2500,1.5,7,60.0,0,0,0,0,0,0.0,574.55.00,6243891583100,"11,4886"
object_A11_layer_373.png,6243892435300,10,00.05,2500,1.5,7,38.4,0,0,0,0,0,0.0,5991.35.00,6243902402200,"9,9669"
object_A11_layer_374.png,6243903963500,10,00.05,2500,1.5,7,65.6,0,0,0,0,0,0.0,5991.35.00,6243912875800,"8,9123"
object_A11_layer_375.png,6243914071600,10,00.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.3484848484848486,6243924682300,"10,6107"
object_A11_layer_376.png,6243925939500,10,00.05,2500,1.5,7,67.2,0,0,0,0,0,0.0,2.3484848484848486,6243935248700,"9,3092"
object_A11_layer_377.png,6243936307800,10,00.05,2500,1.5,7,55.2,0,0,0,0,0,0.0,2.338235294117647,6243946526700,"10,2189"
object_A11_layer_378.png,6243947623800,10,00.05,2500,1.5,7,80.8,0,0,0,0,0,0.0,2.3333333333333335,6243956200900,"8,5771"
object_A11_layer_379.png,6243957181900,10,00.05,2500,1.5,7,44.8,0,0,0,0,0,0.0,2.342857142857143,6243966284000,"9,1021"
object_A11_layer_380.png,6243967228900,10,00.05,2500,1.5,7,60.8,0,0,0,0,0,0.0,2.3815789473684212,6243977915700,"10,6868"
object_A11_layer_381.png,6243978983100,10,00.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,08.15,6243990253500,"11,2704"
object_A11_layer_382.png,6243991219900,10,00.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,08.15,6244006963100,"15,7432"
object_A11_layer_383.png,6244007923800,10,00.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,08.15,6244017659200,"9,7354"
object_A11_layer_384.png,6244018871100,10,00.05,2500,1.5,7,6.4,0,0,0,0,0,0.0,08.15,6244028148600,"9,2775"
object_A11_layer_385.png,6244029059600,10,00.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.3698630136986303,6244037322600,"8,263"
object_A11_layer_386.png,6244038118300,10,00.05,2500,1.5,7,39.2,0,0,0,0,0,0.0,2.364864864864865,6244047723400,"9,6051"
object_A11_layer_387.png,6244048589400,10,00.05,2500,1.5,7,45.6,0,0,0,0,0,0.0,2.364864864864865,6244057286200,"8,6968"
object_A11_layer_388.png,6244058092500,10,00.05,2500,1.5,7,86.4,0,0,0,0,0,0.0,02.36,6244068408400,"10,3159"
object_A11_layer_389.png,6244069230700,10,00.05,2500,1.5,7,62.4,0,0,0,0,0,0.0,2.3506493506493507,6244080256000,"11,0253"
object_A11_layer_390.png,6244081073200,10,00.05,2500,1.5,7,40.0,0,0,0,0,0,0.0,2.3333333333333335,6244091046800,"9,9736"
object_A11_layer_391.png,6244091987800,10,00.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.3417721518987342,6244100920100,"8,9323"
object_A11_layer_392.png,6244101799700,10,00.05,2500,1.5,7,56.8,0,0,0,0,0,0.0,58.15.00,6244111075100,"9,2754"
object_A11_layer_393.png,6244112056800,10,00.05,2500,1.5,7,8.0,0,0,0,0,0,0.0,58.15.00,6244120619900,"8,5631"
object_A11_layer_394.png,6244121789400,10,00.05,2500,1.5,7,45.6,0,0,0,0,0,0.0,58.15.00,6244132580500,"10,7911"
object_A11_layer_395.png,6244133579400,10,00.05,2500,1.5,7,16.0,0,0,0,0,0,0.0,58.15.00,6244141551600,"7,9722"
